,Bootstrap_nr,Current_position,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Current_position_4.0,0.06117151603772221,-0.006390132997562317,-0.0827578224585938,0.04839001546473744,0.05684334603212348,0.08242643772084313,0.009124781421863268,0.0030476718126672604,125.0,163.0,13372.71095549926,0.0,17532.4114700278,0.2372964980212967,0.23725775097394197,0.005384107270020255,0.237257750973942,0.005434633419770963,0.3980176732598641,52.081459834330566,259.4162346040411,19.959270082834717
1,0,Current_position_5.0,0.17345484694309685,0.014567080259521387,-0.15118340314333256,0.15232334852346358,0.023332297619241053,0.13009931084179083,0.045263428774789075,0.09838898395838819,125.0,163.0,13372.71095549926,0.0,17532.4114700278,0.2372964980212967,0.23725775097394197,0.005384107270020255,0.237257750973942,0.005434633419770963,0.3980176732598641,52.081459834330566,259.4162346040411,19.959270082834717
2,0,Current_position_6.0,0.25950079993978736,-0.021817486103344042,-0.17430161263191637,0.15611983797255521,0.019398401211730695,0.30338965248537547,0.12743605100228222,-0.03157892045284477,125.0,163.0,13372.71095549926,0.0,17532.4114700278,0.2372964980212967,0.23725775097394197,0.005384107270020255,0.237257750973942,0.005434633419770963,0.3980176732598641,52.081459834330566,259.4162346040411,19.959270082834717
3,1,Current_position_4.0,0.1275094354759863,-0.007578692524680578,-0.06178372974459312,-0.05219446000141461,0.07853610415027347,0.0044433206493630336,0.049257404551427755,-0.08758251380127942,125.0,163.0,13290.184706710332,0.0,17422.606393222675,0.2372256697649895,0.23718734116152906,0.005292292874633842,0.23718734116152904,0.005342273373546354,0.39677601648175637,52.3278068456408,259.6625816153513,19.8360965771796
4,1,Current_position_5.0,0.32503591427625594,-0.006778808505385465,-0.12685759697961954,0.045575635985331917,0.03485424093352814,0.02587407162025558,0.07665722644859857,-0.058917574685740395,125.0,163.0,13290.184706710332,0.0,17422.606393222675,0.2372256697649895,0.23718734116152906,0.005292292874633842,0.23718734116152904,0.005342273373546354,0.39677601648175637,52.3278068456408,259.6625816153513,19.8360965771796
5,1,Current_position_6.0,0.4595780170572953,-0.025692439752236597,-0.20937958617519525,0.06418987889744382,0.05658309400263921,0.16577908156057883,0.2494979005563095,-0.11202981629655095,125.0,163.0,13290.184706710332,0.0,17422.606393222675,0.2372256697649895,0.23718734116152906,0.005292292874633842,0.23718734116152904,0.005342273373546354,0.39677601648175637,52.3278068456408,259.6625816153513,19.8360965771796
6,2,Current_position_4.0,0.0932120762453777,0.00029109405734020077,-0.10823565463202804,0.002559859856556296,-0.0004360511617986806,0.07929115232482946,-0.019436636347714097,-0.04426268090733712,125.0,163.0,13526.135120835426,0.0,17085.54825864983,0.20809000417620083,0.20832888028702234,-0.03233914010572292,0.20832888028702232,-0.03265063455423419,0.4003157964294898,51.62347725123753,258.95825202094807,20.188261374381234
7,2,Current_position_5.0,0.26575400076359523,8.159791277030904e-05,-0.22368847340913062,0.008300142682724465,7.222731020892654e-05,0.12528292828671903,0.0227713654316792,0.01697241217535666,125.0,163.0,13526.135120835426,0.0,17085.54825864983,0.20809000417620083,0.20832888028702234,-0.03233914010572292,0.20832888028702232,-0.03265063455423419,0.4003157964294898,51.62347725123753,258.95825202094807,20.188261374381234
8,2,Current_position_6.0,0.3865241211559847,0.0004864079663672804,-0.425315010608091,0.010100517674658638,-2.4339898562757833e-05,0.38436365635964137,0.1050686450697385,0.11384789038126718,125.0,163.0,13526.135120835426,0.0,17085.54825864983,0.20809000417620083,0.20832888028702234,-0.03233914010572292,0.20832888028702232,-0.03265063455423419,0.4003157964294898,51.62347725123753,258.95825202094807,20.188261374381234
9,3,Current_position_4.0,0.134731038272118,0.017645210809454154,-0.08584881542382679,0.0694028979138649,0.018087009674857744,0.05960879078562128,0.018904852995520315,-0.054529109653126025,125.0,163.0,13571.417032752688,0.0,17061.131234528046,0.20426603118825648,0.20454178294537295,-0.03727751503923371,0.2045417829453729,-0.037637095330513404,0.4009915517899449,51.48830736491735,258.82308213462784,20.255846317541327
10,3,Current_position_5.0,0.3684415647086545,0.043822350812909146,-0.19845610376641443,0.159376836573973,-0.01537842842347041,0.07618626322925291,0.03177476116065553,-0.06353858826003328,125.0,163.0,13571.417032752688,0.0,17061.131234528046,0.20426603118825648,0.20454178294537295,-0.03727751503923371,0.2045417829453729,-0.037637095330513404,0.4009915517899449,51.48830736491735,258.82308213462784,20.255846317541327
11,3,Current_position_6.0,0.42657754053091007,0.012037019666735514,-0.22821722308232698,0.16913977287233375,0.023768932313686555,0.1435664547848405,0.044399988541878106,-0.0355464524561825,125.0,163.0,13571.417032752688,0.0,17061.131234528046,0.20426603118825648,0.20454178294537295,-0.03727751503923371,0.2045417829453729,-0.037637095330513404,0.4009915517899449,51.48830736491735,258.82308213462784,20.255846317541327
12,4,Current_position_4.0,0.11130442340246957,-0.015319911378160316,-0.04144781097051833,0.015419562541554445,0.04596777078230412,0.0459507966920381,0.013130219144547189,-0.06560149361473283,125.0,163.0,13738.992383677905,0.0,17308.33557797411,0.20596524216375056,0.20622105333099772,-0.03508774645637902,0.20622105333099777,-0.035421324218469254,0.40348248437934897,50.98808243678237,258.32285720649287,20.505958781608815
13,4,Current_position_5.0,0.36123863210084783,-0.009993959006930992,-0.11196505184009113,0.11158160716960026,0.006114069441178067,0.14639894626020694,0.025602161467220517,-0.10122510339363093,125.0,163.0,13738.992383677905,0.0,17308.33557797411,0.20596524216375056,0.20622105333099772,-0.03508774645637902,0.20622105333099777,-0.035421324218469254,0.40348248437934897,50.98808243678237,258.32285720649287,20.505958781608815
14,4,Current_position_6.0,0.4916877918929144,0.005484594553889058,-0.17067968694690552,0.1988806639704242,0.013915365685689364,0.2221859066122228,0.038920245332351174,-0.09011259814042635,125.0,163.0,13738.992383677905,0.0,17308.33557797411,0.20596524216375056,0.20622105333099772,-0.03508774645637902,0.20622105333099777,-0.035421324218469254,0.40348248437934897,50.98808243678237,258.32285720649287,20.505958781608815
