,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Current_position_4.0,0.04959143,0.008604935,0.007316418,0.020037437,0.008010157,0.007685341,-0.004153186,0.079407082,0.012801927,-0.011394453,-0.007717647,0.005226308,-0.003767023,0.008791365,1.71E-06,0.00811272,111,174,2122.267251,0,3927.798093,0.464204733,0.459680157,0.153012137,0.459680157,0.160104717,0.167868,151.4091079,504.3573073,3.295446042
1,0,Current_position_5.0,0.199596948,0.022295474,0.005881084,0.052503639,0.006662575,-0.012369235,0.000209288,0.026439216,0.012751784,-0.043467983,-0.013180232,0.011444231,0.002323365,0.027138693,2.10E-06,-0.007165966,111,174,2122.267251,0,3927.798093,0.464204733,0.459680157,0.153012137,0.459680157,0.160104717,0.167868,151.4091079,504.3573073,3.295446042
2,0,Current_position_6.0,0.304586098,0.024066279,0.009582798,0.077019123,0.015271983,-0.031395127,0.000142608,0.323960413,0.110981048,-0.011816886,0.029377673,0.010654054,-0.004545608,0.038608399,2.87E-06,-0.049807926,111,174,2122.267251,0,3927.798093,0.464204733,0.459680157,0.153012137,0.459680157,0.160104717,0.167868,151.4091079,504.3573073,3.295446042
3,1,Current_position_4.0,0.079651909,0.003598215,0.001928894,0.024696357,0.002449986,0.003121954,0.004332823,0.008329262,0.037790869,-0.002528247,0.005232815,0.00042427,-0.002769913,-0.002286449,-0.01135918,-0.024941863,111,174,2047.273061,0,3887.318304,0.478559902,0.473345659,0.174433735,0.473345659,0.182607414,0.164708619,151.6420091,504.5902085,3.178995436
4,1,Current_position_5.0,0.271485851,0.013147087,0.002766883,0.051754519,0.004243905,0.017113741,-0.006878251,0.055525665,0.040008865,-0.011961097,0.010630898,0.005763747,-0.004084286,-0.006575768,-0.016802299,-0.11031745,111,174,2047.273061,0,3887.318304,0.478559902,0.473345659,0.174433735,0.473345659,0.182607414,0.164708619,151.6420091,504.5902085,3.178995436
5,1,Current_position_6.0,0.384374015,0.020725599,-0.000145769,0.079687212,0.005735383,0.017666428,-0.001438706,0.244830436,0.140768871,-0.004153021,0.028704241,0.006069217,-0.00454195,-0.011542993,-0.01022574,0.000148408,111,174,2047.273061,0,3887.318304,0.478559902,0.473345659,0.174433735,0.473345659,0.182607414,0.164708619,151.6420091,504.5902085,3.178995436
6,2,Current_position_4.0,0.090861456,0.020913679,0.000916526,-0.006916508,0.003032164,0.013103392,0.012091903,0.068339596,0.007215706,0.005328456,-0.002009668,-0.000519805,0.000172825,0.00629351,-0.007529689,0.023673582,111,174,2179.131745,0,3958.994473,0.453597156,0.449574441,0.137170746,0.449574441,0.143476623,0.170224522,151.2325101,504.1807095,3.383744945
7,2,Current_position_5.0,0.243187208,0.049243513,-0.002083967,-0.011368077,0.005300239,0.034385366,-0.018509545,0.064632549,0.004368476,-0.000209415,-0.001288509,-0.001656564,0.000173245,0.014757928,-0.026127661,0.035805009,111,174,2179.131745,0,3958.994473,0.453597156,0.449574441,0.137170746,0.449574441,0.143476623,0.170224522,151.2325101,504.1807095,3.383744945
8,2,Current_position_6.0,0.391247756,0.048423811,0.011464303,-0.016048051,0.0058382,0.046738902,-0.026955072,0.315198488,0.116970095,0.012482906,0.015038916,-0.001516365,6.27E-09,0.017636818,-0.018151778,0.228091793,111,174,2179.131745,0,3958.994473,0.453597156,0.449574441,0.137170746,0.449574441,0.143476623,0.170224522,151.2325101,504.1807095,3.383744945
9,3,Current_position_4.0,0.04762883,0.000271769,0.000937151,0.002790581,-0.000231337,0.005237415,0.009324551,0.133206919,0.014825133,-0.002240624,-0.001255464,0.009158634,-0.002167629,0.012586448,0.001545916,0.026356651,111,174,2126.123985,0,4039.207787,0.478650542,0.473628469,0.17487706,0.473628469,0.182749498,0.168028871,151.3971305,504.3453298,3.30143476
