,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Job_satisfaction
0,35.0,3.0,22.78846153846154,45.0,112.5,1.0,14.808018068887636,57.31225296442688,3.3333333333333335,3.3333333333333335,3.4
2,34.0,3.0,17.884615384615383,50.0,125.0,3.0,28.846153846153843,57.692307692307686,3.5,3.8333333333333335,3.8
6,26.0,2.0,21.75824175824176,35.0,100.0,2.0,11.428571428571429,80.0,4.166666666666667,3.5,4.6
7,36.0,3.0,28.846153846153847,50.0,125.0,1.0,16.666666666666664,50.0,2.6666666666666665,2.5,2.0
8,29.0,3.0,28.846153846153847,40.0,100.0,1.0,7.5,87.5,4.333333333333333,4.333333333333333,4.2
9,31.0,2.0,15.76923076923077,50.0,166.66666666666669,1.0,4.0,80.0,2.8333333333333335,2.1666666666666665,2.0
10,30.0,3.0,16.153846153846153,40.0,100.0,1.0,0.0,95.23809523809523,4.333333333333333,3.3333333333333335,4.2
11,49.0,6.0,17.307692307692307,40.0,100.0,3.0,33.17863138145552,33.17863138145552,2.6666666666666665,4.333333333333333,4.2
12,31.0,3.0,27.28142307692308,40.0,100.0,2.0,10.0,70.0,4.5,4.166666666666667,3.8
14,30.0,2.0,15.153846153846155,30.0,100.0,1.0,30.0,30.0,3.3333333333333335,2.8333333333333335,3.0
15,31.0,2.0,20.192307692307693,50.0,125.0,2.0,30.0,40.0,3.6666666666666665,4.666666666666667,4.2
17,32.0,3.0,27.53076923076923,50.0,125.0,1.0,9.836065573770492,73.77049180327869,1.3333333333333333,1.3333333333333333,2.2
18,39.0,6.0,24.807692307692307,40.0,100.0,3.0,75.0,15.0,3.0,3.5,3.6
19,34.0,3.0,17.307692307692307,40.0,100.0,1.0,0.0,77.77777777777779,3.6666666666666665,2.3333333333333335,2.4
23,32.0,3.0,27.115384615384613,40.0,100.0,1.0,30.726003806761533,51.210006344602554,4.302898550724637,4.166666666666667,4.2
24,55.0,6.0,23.076923076923077,70.0,175.0,3.0,50.0,28.57142857142857,2.8333333333333335,2.6666666666666665,2.4
25,39.0,2.0,20.76923076923077,30.0,100.0,1.0,33.33333333333333,50.0,4.666666666666667,4.5,4.0
27,28.0,2.0,21.346153846153847,43.0,107.5,1.0,25.0,50.0,3.3333333333333335,3.8333333333333335,3.0
28,25.0,2.0,16.146153846153844,45.0,150.0,1.0,0.0,77.77777777777779,4.666666666666667,4.0,4.6
29,27.0,2.0,18.46153846153846,30.0,100.0,1.0,0.0,100.0,4.333333333333333,4.333333333333333,3.8
30,27.0,2.0,21.923076923076923,45.0,112.5,2.0,11.11111111111111,55.55555555555556,3.0,2.5,2.2
31,36.0,3.0,28.846153846153847,40.0,100.0,1.0,55.55555555555556,22.22222222222222,4.5,3.3333333333333335,4.0
32,38.0,2.0,21.53846153846154,40.0,133.33333333333331,1.0,0.0,75.0,4.666666666666667,1.5,3.2
33,42.0,5.0,23.076923076923077,40.0,100.0,2.0,37.5,12.5,2.8333333333333335,2.1666666666666665,2.6
37,29.0,2.0,20.76923076923077,30.0,100.0,1.0,0.0,96.66666666666667,3.6666666666666665,3.1666666666666665,3.2
38,34.0,3.0,17.307692307692307,65.0,162.5,1.0,0.0,92.3076923076923,3.5,2.1666666666666665,1.8
40,30.0,2.0,20.556153846153848,45.0,150.0,2.0,32.432432432432435,27.027027027027028,4.166666666666667,3.1666666666666665,3.0
41,39.0,4.0,20.192307692307693,50.0,125.0,2.0,20.0,60.0,3.8333333333333335,3.8333333333333335,3.2
42,58.0,6.0,53.65384615384615,49.0,122.5,3.0,33.68421052631579,8.421052631578947,2.0,1.1666666666666667,2.4
44,30.0,3.0,28.846153846153847,40.0,100.0,1.0,0.0,87.5,4.666666666666667,3.6666666666666665,4.2
46,28.0,2.0,22.115384615384617,45.0,150.0,1.0,0.0,95.23809523809523,4.166666666666667,3.0,3.2
47,30.0,2.0,29.886153846153842,45.0,150.0,1.0,6.666666666666667,62.22222222222222,5.0,4.833333333333333,3.6
48,28.0,2.0,19.23076923076923,35.0,116.66666666666669,1.0,17.327692578882427,47.2413185263529,3.3024691358024696,3.8333333333333335,4.2
49,51.0,6.0,16.826923076923077,48.0,100.0,1.0,31.25,31.25,1.3333333333333333,3.3333333333333335,3.2
50,30.0,3.0,25.107692307692307,50.0,125.0,4.0,32.0,32.0,4.0,4.166666666666667,3.6
51,27.0,2.0,15.76923076923077,30.0,100.0,1.0,0.0,16.666666666666664,3.8333333333333335,4.166666666666667,4.0
53,31.0,3.0,15.576923076923077,40.0,100.0,1.0,6.666666666666667,80.0,4.833333333333333,3.3333333333333335,2.4
54,32.0,2.0,21.246153846153845,37.0,123.33333333333334,1.0,21.951219512195124,60.97560975609756,2.8333333333333335,2.6666666666666665,2.2
