,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Job_satisfaction
0,28.0,3.0,9.613782318331559,50.0,125.0,1.0,10.0,57.99999999999999,3.1666666666666665,1.8333333333333333,2.2
1,33.0,3.0,4.326923076923077,50.0,125.0,1.0,10.0,60.0,3.0,1.5,2.4
2,30.0,3.0,8.213534923666568,40.0,100.0,2.0,47.050683272790174,23.525341636395087,2.3333333333333335,3.8333333333333335,2.8
3,39.0,4.0,9.613782318331559,40.0,100.0,2.0,64.07766990291263,19.41747572815534,4.0,4.5,2.8
4,44.0,4.0,13.699639803622475,40.0,100.0,5.0,50.0,5.0,3.1666666666666665,3.3333333333333335,3.6
5,58.0,4.0,8.652404086498404,20.0,100.0,3.0,33.28733094120894,11.09577698040298,3.1153246121777785,4.166666666666667,3.6
6,34.0,4.0,7.210336738748668,40.0,100.0,1.0,0.0,100.0,2.0,1.0,1.4
7,42.0,4.0,18.025841846871675,40.0,100.0,2.0,20.0,40.0,4.166666666666667,2.6666666666666665,4.2
8,33.0,4.0,14.420673477497337,40.0,100.0,3.0,33.33333333333333,33.33333333333333,2.1666666666666665,1.5,2.2
9,35.0,4.0,21.631010216246008,40.0,100.0,1.0,25.0,25.0,3.5,3.8333333333333335,4.0
10,47.0,4.0,9.85412687628985,60.0,150.0,1.0,50.0,50.0,2.1666666666666665,2.3333333333333335,2.6
11,25.0,4.0,13.218950687705894,40.0,100.0,4.0,28.947368421052634,55.26315789473685,3.8333333333333335,4.166666666666667,3.8
12,40.0,4.0,6.96999218079038,40.0,100.0,2.0,48.763709236875066,25.762586447681844,2.5,2.8333333333333335,2.6
13,42.0,5.0,5.192307692307692,40.0,100.0,2.0,25.0,50.0,1.3333333333333333,3.8333333333333335,1.8
14,48.0,5.0,18.506530962788254,55.0,137.5,1.0,29.09090909090909,67.27272727272727,2.3333333333333335,2.3333333333333335,1.8
15,48.0,5.0,15.141707151372207,40.0,100.0,1.0,20.0,80.0,2.8333333333333335,2.6666666666666665,3.4
21,55.0,6.0,21.631010216246008,60.0,150.0,3.0,28.57142857142857,42.857142857142854,3.6666666666666665,3.0,3.2
22,44.0,4.0,13.93998436158076,50.0,125.0,2.0,12.0,40.0,3.1666666666666665,3.3333333333333335,2.6
38,30.0,3.0,11.055849666081293,50.0,125.0,1.0,3.1914893617021276,95.74468085106383,4.0,3.1666666666666665,3.2
39,32.0,3.0,6.248958506915514,35.0,175.0,1.0,0.0,94.28571428571428,3.1666666666666665,2.8333333333333335,2.2
320,37.0,4.0,8.53223180751926,50.0,125.0,4.0,64.15094339622641,16.9811320754717,3.3333333333333335,3.5,3.6
321,70.0,6.0,12.017227897914449,40.0,100.0,2.0,20.0,50.0,2.9418604651162794,3.1666666666666665,2.786046511627907
322,55.0,6.0,16.824119057080228,55.0,137.5,5.0,46.15384615384615,30.76923076923077,3.6666666666666665,3.8333333333333335,4.4
323,34.0,4.0,11.536538781997873,40.0,100.0,3.0,37.5,20.0,3.5,3.6666666666666665,2.6
325,67.0,6.0,14.420673477497337,40.0,100.0,5.0,50.0,25.0,4.166666666666667,4.666666666666667,4.2
327,45.0,5.0,13.218950687705894,40.0,100.0,4.0,40.0,40.0,3.8333333333333335,3.8333333333333335,4.0
328,50.0,4.0,14.420673477497337,20.0,100.0,1.0,41.66666666666667,27.77777777777778,2.5,3.1666666666666665,2.8
329,32.0,4.0,14.420673477497337,70.0,175.0,3.0,21.428571428571427,57.14285714285714,1.5,3.5,2.2
331,36.0,4.0,9.373437760373271,50.0,125.0,3.0,60.0,20.0,3.5,3.5,2.6
332,44.0,4.0,8.652404086498404,40.0,100.0,1.0,45.0,50.0,2.5,2.3333333333333335,1.6
333,41.0,4.0,8.652404086498404,60.0,150.0,4.0,41.66666666666667,25.0,2.1666666666666665,4.0,1.8
334,57.0,5.0,13.218950687705894,40.0,100.0,3.0,28.57142857142857,28.57142857142857,2.8333333333333335,2.3333333333333335,2.2
335,47.0,4.0,13.352341917372744,40.0,100.0,2.0,37.5,37.5,3.8333333333333335,4.333333333333333,3.2
336,48.0,4.0,11.055849666081293,40.0,100.0,4.0,50.0,10.0,2.8333333333333335,3.8333333333333335,2.8
338,51.0,5.0,15.622396267288783,50.0,125.0,4.0,12.0,6.0,2.8333333333333335,3.0,2.4
339,46.0,5.0,13.699639803622475,65.0,162.5,4.0,23.61111111111111,48.61111111111111,3.6666666666666665,3.6666666666666665,4.2
341,37.0,3.0,7.210336738748668,40.0,100.0,4.0,57.14285714285714,42.857142857142854,1.8333333333333333,4.0,2.4
342,56.0,6.0,10.815505108123004,50.0,125.0,4.0,36.0,38.0,2.8333333333333335,4.0,3.2
343,45.0,5.0,20.429287426454565,70.0,175.0,4.0,14.285714285714285,57.14285714285714,3.8333333333333335,3.6666666666666665,4.0
344,41.0,4.0,9.613782318331559,25.0,125.0,2.0,60.0,8.0,4.0,4.166666666666667,3.2
345,66.0,5.0,16.439567764346965,50.0,100.0,3.0,50.0,25.0,3.6666666666666665,4.0,4.6
346,50.0,5.0,10.094471434248138,45.0,112.5,4.0,72.3404255319149,4.25531914893617,2.1666666666666665,2.8333333333333335,2.0
347,52.0,5.0,14.420673477497337,40.0,100.0,2.0,40.0,55.00000000000001,2.6666666666666665,1.8333333333333333,3.0
348,49.0,4.0,7.210336738748668,40.0,100.0,2.0,66.66666666666666,11.11111111111111,3.1666666666666665,2.3333333333333335,2.4
349,45.0,4.0,7.210336738748668,60.0,150.0,3.0,25.0,33.33333333333333,4.166666666666667,4.5,3.2
350,59.0,4.0,9.133093202414981,25.0,62.5,2.0,89.28571428571429,7.142857142857142,2.6666666666666665,3.1666666666666665,2.4
351,49.0,4.0,7.691025854665247,40.0,100.0,3.0,45.0,45.0,2.0,3.8333333333333335,3.2
352,44.0,4.0,9.613782318331559,50.0,125.0,2.0,40.0,40.0,2.3333333333333335,2.8333333333333335,2.0
353,60.0,6.0,11.216079371386819,60.0,100.0,4.0,33.33333333333333,33.33333333333333,3.5,4.666666666666667,3.2
354,49.0,4.0,10.815505108123004,60.0,150.0,5.0,25.0,33.33333333333333,2.0,2.1666666666666665,1.8
355,31.0,3.0,7.210336738748668,40.0,100.0,1.0,78.94736842105263,7.894736842105263,3.1666666666666665,4.833333333333333,4.0
356,52.0,6.0,14.020099214233523,65.0,135.41666666666669,3.0,21.428571428571427,42.857142857142854,4.833333333333333,4.166666666666667,4.6
357,46.0,4.0,10.815505108123004,40.0,100.0,3.0,37.5,45.0,4.166666666666667,3.8333333333333335,3.2
358,44.0,4.0,7.546819119890276,30.0,150.0,1.0,90.0,0.0,1.6666666666666667,2.1666666666666665,1.8
359,38.0,4.0,5.768269390998936,20.0,100.0,4.0,40.0,20.0,2.1666666666666665,2.6666666666666665,1.4
360,38.0,4.0,18.025841846871675,40.0,100.0,2.0,37.234042553191486,47.87234042553192,4.5,4.166666666666667,4.8
362,32.0,3.0,9.613782318331559,20.0,100.0,2.0,80.0,20.0,3.234285341679708,4.5,2.0
363,47.0,3.0,7.210336738748668,20.0,100.0,1.0,100.0,0.0,2.5,2.0,2.4
364,42.0,4.0,7.691025854665247,40.0,100.0,3.0,50.0,25.0,2.7138752052545154,4.0,2.6
365,40.0,5.0,9.85412687628985,50.0,125.0,3.0,41.66666666666667,37.5,2.6666666666666665,2.3333333333333335,2.2
366,43.0,4.0,13.218950687705894,40.0,100.0,4.0,32.5,25.0,2.0,3.1666666666666665,2.2
367,60.0,5.0,11.055849666081293,50.0,125.0,1.0,54.54545454545454,18.181818181818183,2.6666666666666665,2.6666666666666665,1.6
368,46.0,5.0,9.934241728942613,60.0,100.0,5.0,50.0,13.333333333333334,2.1666666666666665,2.5,2.2
369,43.0,5.0,12.017227897914449,60.0,150.0,3.0,43.333333333333336,16.666666666666664,3.5,4.0,3.6
